,Unnamed: 0,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,zipcode,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification
1075,1075,0.0,4,1.0,1.0,78752.0,0,3,6,2.0,2.0,3.0,3,350,,,29,59,89,364,0,,0,2,0,0
1076,1076,0.0,4,1.0,1.0,78757.0,1,3,4,2.0,2.0,2.0,3,268,500.00 ,95.0,19,49,79,354,2,70.0,0,3,0,0
1077,1077,0.0,5,1.0,1.0,78757.0,1,3,3,1.0,1.0,2.0,3,74,200.00 ,45.0,10,26,45,123,30,91.0,1,3,0,0
1078,1078,0.0,4,1.0,0.0,78752.0,1,3,2,1.0,1.0,1.0,3,300,,100.0,0,0,0,0,0,,0,1,0,0
1079,1079,0.0,3,1.0,1.0,78757.0,1,3,6,2.0,2.0,2.0,3,350,100.00 ,,0,0,0,0,0,,0,2,0,0
1080,1080,0.0,5,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,2,100,,,0,0,0,0,0,,0,1,0,0
1081,1081,0.0,5,1.0,1.0,78757.0,1,3,6,2.0,3.0,3.0,3,200,300.00 ,30.0,0,0,0,256,17,99.0,0,3,0,0
1082,1082,1.0,5,1.0,1.0,78757.0,1,3,8,2.0,3.0,3.0,3,250,500.00 ,80.0,9,26,51,140,27,99.0,0,3,0,0
1083,1083,0.0,4,1.0,1.0,78752.0,1,3,2,1.0,1.0,1.0,3,109,,,0,0,0,0,0,,0,1,0,0
1084,1084,0.0,3,1.0,0.0,78757.0,1,3,2,1.0,0.0,1.0,3,105,200.00 ,60.0,25,55,78,353,1,100.0,0,2,0,0
1085,1085,0.0,4,1.0,1.0,78757.0,1,3,6,2.5,3.0,4.0,3,339,,135.0,22,52,73,346,2,100.0,0,3,0,0
1086,1086,0.0,2,1.0,0.0,78752.0,0,3,4,2.5,2.0,2.0,3,200,,,0,0,0,0,0,,0,1,0,0
1087,1087,0.0,4,1.0,1.0,78757.0,1,3,7,2.0,2.0,3.0,3,250,,,0,0,0,0,0,,0,1,0,0
1088,1088,0.0,4,1.0,1.0,78757.0,1,3,8,2.0,3.0,3.0,3,300,100.00 ,,12,12,12,12,6,100.0,0,3,0,0
1089,1089,0.0,4,1.0,0.0,78757.0,1,3,7,2.0,3.0,3.0,3,250,"2,000.00 ",80.0,22,52,79,156,7,100.0,0,3,0,0
1090,1090,0.0,6,1.0,1.0,78757.0,1,3,4,1.0,1.0,1.0,3,70,,35.0,0,0,0,0,2,100.0,0,1,0,0
1091,1091,0.0,3,1.0,0.0,78757.0,1,3,5,2.0,3.0,4.0,3,331,500.00 ,100.0,6,6,6,275,0,,0,2,0,0
1092,1092,0.0,8,1.0,1.0,78757.0,1,3,6,2.0,3.0,4.0,3,199,,100.0,10,10,10,260,3,100.0,0,3,0,0
1093,1093,0.0,4,1.0,1.0,78757.0,1,3,6,2.0,2.0,3.0,3,220,,50.0,0,0,0,0,2,100.0,0,2,0,0
1094,1094,0.0,6,1.0,1.0,78757.0,0,2,2,1.0,1.0,1.0,3,95,,45.0,29,59,89,364,3,100.0,0,3,0,0
1095,1095,0.0,5,1.0,1.0,78757.0,1,3,4,1.0,1.0,1.0,2,199,,25.0,23,53,83,358,1,100.0,0,1,0,0
1096,1096,1.0,4,1.0,1.0,78757.0,1,2,2,1.5,1.0,1.0,2,40,100.00 ,10.0,3,19,49,49,86,97.0,0,3,0,0
1097,1097,0.0,2,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,0,200,,,0,0,0,0,0,,0,1,0,0
1098,1098,0.0,5,1.0,1.0,78757.0,0,2,2,2.0,1.0,3.0,3,75,,,30,60,90,365,10,98.0,0,3,0,0
1099,1099,0.0,3,1.0,0.0,78757.0,1,2,6,2.0,1.0,4.0,3,52,,,0,0,0,0,0,,0,1,0,0
1100,1100,0.0,4,1.0,0.0,78752.0,1,3,4,2.0,2.0,2.0,3,150,,25.0,3,3,16,16,1,80.0,1,2,0,0
1101,1101,0.0,3,1.0,0.0,78757.0,1,3,6,2.5,3.0,3.0,3,400,250.00 ,50.0,28,58,88,363,0,,0,1,0,0
1102,1102,0.0,4,1.0,1.0,78757.0,1,3,4,1.5,2.0,2.0,3,225,500.00 ,50.0,30,60,90,365,1,80.0,0,3,0,0
1103,1103,0.0,8,1.0,1.0,78757.0,1,2,2,1.0,1.0,1.0,3,42,,,21,51,81,81,22,99.0,0,2,0,0
1104,1104,1.0,4,1.0,1.0,78757.0,1,3,2,1.0,0.0,1.0,3,90,100.00 ,40.0,7,33,63,338,36,99.0,0,2,0,0
1105,1105,0.0,4,1.0,1.0,78757.0,1,3,2,1.0,1.0,2.0,2,135,,,12,12,12,12,0,,1,1,0,0
1106,1106,0.0,3,1.0,0.0,78757.0,1,3,2,1.0,1.0,1.0,3,125,200.00 ,15.0,0,0,0,0,5,92.0,0,2,0,0
1107,1107,0.0,4,1.0,1.0,78757.0,1,3,8,2.0,3.0,4.0,3,135,,150.0,7,17,28,289,0,,1,2,0,0
1108,1108,0.0,3,1.0,0.0,78757.0,1,3,7,1.0,0.0,5.0,3,400,,,12,12,12,12,0,,1,3,0,0
1109,1109,1.0,4,1.0,1.0,78757.0,1,2,2,2.0,1.0,1.0,3,40,,,0,0,25,25,17,98.0,0,1,0,0
1110,1110,0.0,4,1.0,1.0,78757.0,1,3,4,1.0,1.0,2.0,3,110,100.00 ,60.0,0,0,0,0,1,100.0,0,2,0,0
1111,1111,0.0,3,1.0,0.0,78757.0,1,2,2,2.0,1.0,1.0,3,125,,,30,60,90,365,0,,0,1,0,0
